Engilish,Türkçe
cabin,kabin
chew,çiğnemek
physical,fiziksel
puzzle,bulmaca
explode,patlamak
steady,sabit durmak
how's,nasıl
pet,Evcil Hayvan
sake,hatır
compare,karşılaştırmak
principal,müdür
scan,tarama
forty,kırk
impress,etkilemek
mentally,zihinsel olarak
react,tepki
sandwich,sandviç
shy,utangaç
twelve,on iki
whilst,İken
bullet,kurşun
challenge,meydan okumak
command,emretmek
examine,incelemek
film,film
appreciate,takdirle karşılamak
tense,gergin
blank,boşluk
blew,patladı
fought,kavga etti
gym,spor salonu
passenger,yolcu
teenager,genç
dish,tabak
drawn,çizilmiş
scary,korkutucu
unlike,farklı
straighten,düzeltmek
strain,gerilmek
tune,melodi
constantly,sürekli
famous,ünlü
marriage,evlilik
bound,ciltli
fancy,süslü
issue,sorun
warmth,sıcaklık
awhile,bir süre
collect,TOPLAMAK
concentrate,yoğunlaşmak
copy,kopyala
disbelief,inançsızlık
tighten,sıkılaştırmak
determine,belirlemek
favor,iyilik
mental,zihinsel
bush,çalı
forgive,affetmek
aim,amaç
embrace,kucaklamak
fairly,adil bir şekilde
froze,dondu
insult,hakaret
option,seçenek
post,postalamak
resist,direnmek
spoken,konuşulmuş
apple,elma
general,genel
instant,ani
jeep,jip
emerge,meydana gelmek
neighbor,komşu
pressure,basınç
service,hizmet
shuffle,Karıştır
briefly,kısaca
notebook,not defteri
peace,barış
string,sicim
wine,şarap
dash,kısa çizgi
gut,bağırsak
stress,stres
connect,bağlamak
language,dil
private,özel
spring,bahar
chip,yonga
puppy,köpek yavrusu
ache,ağrı
desperate,çaresiz
habit,alışkanlık
necessary,gerekli
nope,Hayır
pencil,kalem
satisfy,tatmin etmek
deny,reddetmek
mommy,anne
attitude,davranış
dial,aramak
painful,acı verici
display,görüntülemek
frustrate,hayal kırıklığına uğratmak
it'd,o
tend,eğilimli olma
exact,bire bir aynı
powerful,güçlü
nature,doğa
photo,Fotoğraf
total,Toplam
video,video
egg,Yumurta
occur,meydana gelmek
anybody,herhangi biri
corridor,koridor
gulp,yudum
trace,iz
whoever,her kim
brief,kısa bilgi
exhaust,egzoz
pout,surat asmak
terrify,dehşete düşürmek
chapter,bölüm
insane,inanılmaz
spell,hecelemek
surely,kesinlikle
tray,tepsi
alcohol,alkol
chain,zincir
fashion,moda
garage,garaj
inquire,sormak
candy,Şeker
similar,benzer
bark,havlamak
flirt,flört
pathetic,acınası
supply,tedarik
tower,kule
engine,motor
frozen,dondurulmuş
map,harita
toilet,tuvalet
background,arka plan
shudder,titreme
spider,örümcek
adult,yetişkin
cheap,ucuz
clue,ipucu
hazel,ela
irritate,kızdırmak
sand,kum
quarter,çeyrek
spare,kıyamamak
American,Amerikan
rid,kurtulmak
spat,tükürmek
pot,tencere
awful,berbat
bleed,kanama
fate,kader
jog,koşu
strike,çarpmak
grimace,yüz buruşturma
holiday,tatil
whistle,ıslık
agreement,anlaşma
dull,sıkıcı
expensive,masraflı
snatch,kapmak
sometime,bazen
ability,yetenek
campus,yerleşke
collar,yaka
disturb,rahatsız etmek
flicker,titreme
proceed,ilerlemek
recently,son zamanlarda
risk,risk
skill,yetenek
topic,başlık
defense,savunma
fry,yağda kızartmak
luckily,şans eseri
retort,imbik
captain,Kaptan
eaten,yenilmiş
glove,eldiven
mid,orta
owner,mal sahibi
cheese,peynir
yank,çekmek
afterward,sonrasında
closely,yakından
coach,koç
feather,tüy
handsome,Yakışıklı
New York,New York
pity,acımak
signal,sinyal
sniff,koklamak
strap,kayış
contain,içermek
survive,hayatta kalmak
sweater,Kazak
west,batı
drawer,çekmece
leap,sıçramak
major,ana
peek,dikizlemek
suspect,şüphelenmek
tour,tur
freeze,donmak
heaven,cennet
mask,maske
surprisingly,şaşırtıcı bir şekilde
abruptly,aniden
begun,başladı
customer,müşteri
pad,ped
design,tasarım
flop,başarısızlık
pride,gurur
yep,Evet
interview,röportaj
makeup,makyaj yapmak
blast,büyük patlama
prince,prens
rode,Binmek
bubble,kabarcık
rent,kira
teen,genç
